#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC05539.JPG	35.5700702159	139.4818479137	154.8023986816	
DSC05540.JPG	35.5705937621	139.4816272114	155.5593719482	
DSC05541.JPG	35.5710820125	139.4813965789	155.8251037598	
DSC05542.JPG	35.5710855122	139.4812641140	186.8714599609	
DSC05543.JPG	35.5707845538	139.4813249383	186.2686462402	
DSC05544.JPG	35.5704984557	139.4813981899	187.1746673584	
DSC05545.JPG	35.5701906302	139.4814343178	186.5050964355	
DSC05546.JPG	35.5698817978	139.4815265756	185.9044647217	
DSC05547.JPG	35.5695397877	139.4815888807	185.7838134766	
DSC05548.JPG	35.5691905545	139.4816604317	185.8756408691	
DSC05549.JPG	35.5688446781	139.4817377801	186.5328521729	
DSC05550.JPG	35.5687761867	139.4811147177	153.6157379150	
DSC05551.JPG	35.5692656461	139.4809410593	152.9784088135	
DSC05552.JPG	35.5697236913	139.4806967626	153.4834442139	
DSC05553.JPG	35.5702377373	139.4804874005	153.8585205078	
DSC05554.JPG	35.5707014610	139.4802588427	155.5608520508	
DSC05555.JPG	35.5704060050	139.4797605032	156.1629486084	
DSC05556.JPG	35.5700536922	139.4798799271	157.0754699707	
DSC05557.JPG	35.5696884210	139.4800251491	157.2520294189	
